k,random_starts,mean_cost,mean_train_acc,mean_test_acc,sd_test_acc,min_test_acc,max_test_acc,mean_iterations,mean_fit_seconds,ms_per_test_image,mean_empty_clusters,mean_smallest_cluster,mean_largest_cluster
2,10,4789914707.00049,0.212066666666667,0.1995,0.00158113883008419,0.195,0.2,23.1,0.0714790541666667,0.0012749375,0,551.6,948.4
5,10,4212865059.16223,0.464866666666667,0.4245,0.0184767120692208,0.385,0.435,23.7,0.125898670833333,0.00258370833333333,0,160.6,447.5
10,10,3791594701.5917,0.570466666666666,0.58,0.039370039370059,0.53,0.64,26,0.2538573875,0.00476441666666667,0,97.5,226.5
15,10,3537140943.38114,0.666266666666667,0.6635,0.040760138479756,0.605,0.73,26.9,0.3805482875,0.00696425000000001,0,49.7,152.3
20,10,3378066250.91757,0.700733333333333,0.685,0.0201384099559909,0.65,0.72,24.4,0.45878605,0.00950612499999999,0,36.5,133.9
25,10,3252344708.91372,0.727666666666667,0.7255,0.0130064086767511,0.71,0.745,22.1,0.614948008333334,0.0141585416666667,0,23.5,103.5
30,10,3144397079.34099,0.733533333333333,0.7075,0.0222673153598123,0.665,0.745,22.8,0.567286741666667,0.013573125,0,18.6,88.9
40,10,3004531440.74809,0.7626,0.7435,0.0267758182777753,0.705,0.795,18.6,0.639308575,0.0177562916666667,0,12.3,75.2
50,10,2898864049.46239,0.7778,0.757,0.0329309040939426,0.71,0.805,19,0.882453495833333,0.0280012916666667,0,5.5,65.6
60,10,2804704617.78705,0.7886,0.759,0.0225831795812724,0.72,0.8,16.1,0.81700565,0.0265771666666667,0,4.1,58.2
75,10,2686072311.54401,0.806,0.7735,0.0238105952139892,0.745,0.805,16.5,1.002736675,0.0336048333333333,0,2.2,46.6
100,10,2536761395.97492,0.812,0.7905,0.0189223559726466,0.75,0.815,13.2,1.13189602916667,0.048226375,0,1.4,36.6
125,10,2422356497.34578,0.821933333333333,0.792,0.0239443799947573,0.765,0.835,12.3,1.26138410416667,0.0561616666666666,0,1.2,31.6
150,10,2318877562.54237,0.826933333333334,0.808,0.0156702123647242,0.79,0.84,11,1.33881962916667,0.0685718541666666,0,1,30
200,10,2149405149.53116,0.8396,0.8125,0.0175198300346905,0.785,0.835,9.7,1.47777907916666,0.0884879583333334,0,1,23.5
250,10,1994547048.78074,0.849333333333333,0.824,0.0141027972008708,0.805,0.845,8,1.62625700416667,0.109172270833333,0,1,21
300,10,1852610579.74502,0.862666666666667,0.829,0.0194079021706795,0.8,0.855,6.7,1.6189615375,0.138348375,0,1,17.7
400,10,1608313642.59166,0.881933333333333,0.8505,0.0125720147770974,0.83,0.87,5.6,2.2564962125,0.269348375,0,1,14.3
500,10,1391075171.05102,0.9028,0.8475,0.0135912553585834,0.825,0.87,5,2.03709408333333,0.236043979166667,0,1,10.8
750,10,938641200.121587,0.935666666666667,0.845,0.0156347191994114,0.82,0.875,4.2,2.83668719166667,0.409826375,0,1,8
1000,10,567282740.05131,0.960666666666667,0.849,0.00737864787372623,0.84,0.86,3.7,3.16282635,0.499325458333333,0,1,6
1500,10,0,1,0.87,1.1702778228589e-16,0.87,0.87,2,2.89822697916667,0.8461075625,0,1,1
