k,n_seeds,mean_final_cost,std_final_cost,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_test_acc_clean,std_test_acc_clean,mean_n_iter,std_n_iter,mean_fit_time,std_fit_time,mean_time_per_iter,std_time_per_iter,mean_predict_time,std_predict_time,mean_n_empty,std_n_empty,mean_min_cluster,std_min_cluster,mean_max_cluster,std_max_cluster,mean_n_pure_clusters,std_n_pure_clusters,mean_outlier_correct,std_outlier_correct,mean_converged,std_converged,min_final_cost,max_final_cost,min_test_acc,max_test_acc,min_fit_time,max_fit_time,best_seed,cost_of_best_seed,best_seed_test_acc
2,10,4789914707.00049,17306296.5520625,0.212066666666667,0.00331774131110403,0.1995,0.00158113883008419,0.2,0.00334632556631588,23.1,9.35057930469195,0.0714790541666667,0.029039674246091,0.00309130401445451,0.000227907995897056,0.0002549875,2.4350926304408e-05,0,0,551.6,24.6810768718781,948.4,24.6810768718781,0,0,2.1,0.316227766016838,1,0,4784063485.68028,4839157501.0929,0.195,0.2,0.0208673333333333,0.124760666666667,1050,4784063485.68028,0.2
5,10,4212865059.16223,29612081.8021726,0.464866666666667,0.0258849305509908,0.4245,0.0184767120692208,0.428571428571429,0.0183285799742737,23.7,11.776152927751,0.125898670833333,0.0622351573256543,0.00531622937787025,3.47009302004487e-05,0.000516741666666667,3.36981529057492e-05,0,0,160.6,30.0636362109147,447.5,5.35931173027118,0,0,3.9,0.316227766016838,0.9,0.316227766016838,4198608809.37458,4272384773.49698,0.385,0.435,0.0631547916666667,0.265034416666667,9,4198608809.37458,0.43
10,10,3791594701.5917,13894949.0701511,0.570466666666666,0.0309041529032372,0.58,0.039370039370059,0.576190476190476,0.0373673021571925,26,10.0443461155462,0.2538573875,0.0995273312497933,0.00974870795998724,0.000219756403651152,0.000952883333333333,4.64201067612775e-05,0,0,97.5,12.6600860098886,226.5,27.2773817577046,0,0,7.1,1.10050493461461,1,0,3769904167.73133,3816177088.64444,0.53,0.64,0.144600833333333,0.423417625,5,3769904167.73133,0.63
15,10,3537140943.38114,12430937.4188907,0.666266666666667,0.0218325840979729,0.6635,0.040760138479756,0.658201058201058,0.0421955598674644,26.9,8.17108723895827,0.3805482875,0.116761587410293,0.0141373154668012,0.000128306294383377,0.00139285,1.92352356399254e-05,0,0,49.7,12.4011648198421,152.3,18.1784365542132,0,0,8.3,0.674948557710553,1,0,3515583185.82548,3554920182.0314,0.605,0.73,0.238953666666667,0.569657791666667,1,3515583185.82548,0.695
20,10,3378066250.91757,16571954.8120554,0.700733333333333,0.0153717714667078,0.685,0.0201384099559909,0.682539682539682,0.0231302946183493,24.4,5.33749837366616,0.45878605,0.100665406922529,0.0187973480984787,0.000171733115381219,0.001901225,3.984386095966e-05,0,0,36.5,11.037813793199,133.9,24.273671150263,0.1,0.316227766016838,8,0.816496580927726,1,0,3362980051.07994,3410639634.10941,0.65,0.72,0.315443375,0.652331708333333,8,3362980051.07994,0.7
25,10,3252344708.91372,18734246.4143466,0.727666666666667,0.0157362520833148,0.7255,0.0130064086767511,0.725396825396825,0.0175394143075156,22.1,6.52261024777998,0.614948008333334,0.180512497600242,0.0278454689430631,0.000391504639137607,0.00283170833333333,0.000116979280243009,0,0,23.5,7.19953702215173,103.5,11.6833214455479,0.4,0.516397779494322,8,0.942809041582063,1,0,3227919411.27804,3286065062.61298,0.71,0.745,0.330999791666667,1.00766329166667,2,3227919411.27804,0.73
30,10,3144397079.34099,15189695.7432113,0.733533333333333,0.0137815407047808,0.7075,0.0222673153598123,0.71005291005291,0.0226958842217221,22.8,4.34101882562659,0.567286741666667,0.107227143790882,0.0248849854191892,0.000168083411832471,0.002714625,0.000148643414194283,0,0,18.6,2.7968235951204,88.9,9.53880961592635,0.6,0.843274042711568,7.3,1.25166555703457,1,0,3122967179.89536,3168314309.70427,0.665,0.745,0.442385958333333,0.742681041666667,2,3122967179.89536,0.745
40,10,3004531440.74809,15095835.5233221,0.7626,0.0200479671701226,0.7435,0.0267758182777753,0.742328042328042,0.026402063385978,18.6,3.02581485810939,0.639308575,0.105171479529375,0.0343622033718136,0.000159159618546188,0.00355125833333333,0.000158526437799761,0,0,12.3,4.19126074906664,75.2,14.3975306524726,2.7,1.41813649241218,8.4,1.71269767715535,1,0,2975393982.07052,3028012882.22315,0.705,0.795,0.511451458333333,0.792234791666667,1050,2975393982.07052,0.795
50,10,2898864049.46239,15506401.9725465,0.7778,0.0180480839241548,0.757,0.0329309040939426,0.755555555555555,0.032116203569919,19,4.42216638714053,0.882453495833333,0.207384900921159,0.0464274361917694,0.000230260801694645,0.00560025833333333,0.000180304915565718,0,0,5.5,3.30823887354653,65.6,7.39669595908275,4.5,1.17851130197758,8.6,1.42984070596848,1,0,2877641253.81266,2921697320.63209,0.71,0.805,0.694160208333333,1.25472991666667,1050,2877641253.81266,0.795
60,10,2804704617.78705,16256752.6377383,0.7886,0.0132607282447175,0.759,0.0225831795812724,0.75978835978836,0.0236883716266397,16.1,3.03498123735734,0.81700565,0.157656441340485,0.0506986151887941,0.000519311879681975,0.00531543333333333,0.000550361787294121,0,0,4.1,2.68535120814971,58.2,8.27042925125413,8.2,1.81352940116473,8.2,1.13529242439509,1,0,2776088362.89032,2829348104.28859,0.72,0.8,0.543244208333333,1.01846845833333,2,2776088362.89032,0.775
