k,seed,init_method,dist_mode,n_iter,converged,final_cost,init_cost,fit_time,predict_time,train_acc,test_acc,test_acc_clean,outlier_correct,n_outlier,n_empty,min_cluster,max_cluster,n_pure_clusters
200,1050,forgy,loop,15,1,2153657598.9949,2269029886.87001,2.296461125,0.0181692083333333,0.838,0.81,0.80952380952381,9,11,0,1,25,93
200,1,forgy,loop,9,1,2143183479.43193,2268859902.09546,1.37037708333333,0.017893125,0.836666666666667,0.8,0.798941798941799,9,11,0,1,23,93
200,2,forgy,loop,11,1,2158746283.32551,2304714611.54057,1.66240154166667,0.017223375,0.844,0.825,0.82010582010582,10,11,0,1,30,87
200,3,forgy,loop,8,1,2144953971.15552,2252987627.72132,1.21494858333333,0.0172263333333333,0.834,0.79,0.793650793650794,8,11,0,1,21,87
200,4,forgy,loop,10,1,2157884028.43172,2267391160.92108,1.52327345833333,0.0173852916666667,0.845333333333333,0.815,0.814814814814815,9,11,0,1,19,99
200,5,forgy,loop,7,1,2164061050.17955,2289967745.39434,1.06237058333333,0.0186838333333333,0.829333333333333,0.785,0.783068783068783,9,11,0,1,22,93
200,6,forgy,loop,10,1,2123572587.84264,2248327735.95788,1.52529595833333,0.017989375,0.858666666666667,0.83,0.835978835978836,8,11,0,1,22,96
200,7,forgy,loop,11,1,2132298333.24372,2261308897.52243,1.67417741666667,0.0171291666666667,0.848666666666667,0.83,0.830687830687831,9,11,0,1,22,91
200,8,forgy,loop,7,1,2159631998.57654,2265940566.99633,1.07213708333333,0.0175604166666667,0.824666666666667,0.835,0.830687830687831,10,11,0,1,28,78
200,9,forgy,loop,9,1,2156062164.12954,2270753459.89244,1.37634795833333,0.0177157916666667,0.836666666666667,0.805,0.798941798941799,10,11,0,1,23,93
250,1050,forgy,loop,8,1,1990994807.14543,2088562383.21859,1.62084966666667,0.0214925,0.859333333333333,0.805,0.80952380952381,8,11,0,1,24,130
250,1,forgy,loop,7,1,1985749675.34305,2076484790.09666,1.42082229166667,0.0216767083333333,0.846,0.84,0.835978835978836,10,11,0,1,19,131
250,2,forgy,loop,8,1,1973146789.52888,2094766496.57062,1.627005875,0.022012625,0.847333333333333,0.825,0.82010582010582,10,11,0,1,27,129
250,3,forgy,loop,6,1,2006439679.50228,2084801414.98327,1.21505183333333,0.0218040833333333,0.836666666666667,0.835,0.835978835978836,9,11,0,1,20,125
250,4,forgy,loop,11,1,2000026656.90217,2075487886.65913,2.22955258333333,0.0216853333333333,0.866,0.83,0.830687830687831,9,11,0,1,18,137
250,5,forgy,loop,9,1,1983943059.34659,2077833553.6444,1.83271479166667,0.0224475,0.856666666666667,0.825,0.82010582010582,10,11,0,1,23,140
250,6,forgy,loop,7,1,1987154931.16878,2067688716.60088,1.42455691666667,0.021474125,0.853333333333333,0.845,0.841269841269841,10,11,0,1,21,133
250,7,forgy,loop,10,1,1989142860.96799,2072721579.5251,2.031748625,0.021621125,0.861333333333333,0.82,0.82010582010582,9,11,0,1,18,137
250,8,forgy,loop,7,1,2017917006.53066,2096161506.42224,1.43060658333333,0.0217500833333333,0.833333333333333,0.81,0.804232804232804,10,11,0,1,20,124
250,9,forgy,loop,7,1,2010955021.37157,2104791743.60985,1.429660875,0.0223804583333333,0.833333333333333,0.805,0.798941798941799,10,11,0,1,20,127
300,1050,forgy,loop,6,1,1867646570.46164,1926634534.01731,1.4466525,0.0273093333333333,0.856666666666667,0.82,0.825396825396825,8,11,0,1,19,170
300,1,forgy,loop,6,1,1844840750.72051,1902450056.94468,1.44598929166667,0.0270942083333333,0.853333333333333,0.81,0.80952380952381,9,11,0,1,16,178
300,2,forgy,loop,7,1,1832416255.55804,1912381670.59425,1.689323625,0.028101,0.87,0.81,0.80952380952381,9,11,0,1,21,189
300,3,forgy,loop,5,1,1876154784.94526,1925135570.38561,1.20664358333333,0.0277747083333333,0.846,0.835,0.841269841269841,8,11,0,1,21,163
300,4,forgy,loop,7,1,1846008564.66345,1907706291.89679,1.690944875,0.0274320416666667,0.877333333333333,0.845,0.851851851851852,8,11,0,1,17,185
300,5,forgy,loop,7,1,1846012398.20486,1904465744.94077,1.69057358333333,0.02746975,0.868666666666667,0.855,0.851851851851852,10,11,0,1,14,182
300,6,forgy,loop,9,1,1830305574.87627,1898976235.43058,2.176284,0.0276624583333333,0.878666666666667,0.845,0.841269841269841,10,11,0,1,17,187
300,7,forgy,loop,8,1,1838142466.65039,1904725834.32447,1.93511216666667,0.0276345833333333,0.873333333333333,0.85,0.846560846560847,10,11,0,1,17,190
300,8,forgy,loop,7,1,1867543004.16083,1933620888.18853,1.69536895833333,0.0276725,0.856,0.82,0.814814814814815,10,11,0,1,17,170
300,9,forgy,loop,5,1,1877035427.20894,1943831202.30225,1.21272279166667,0.0285461666666667,0.846666666666667,0.8,0.793650793650794,10,11,0,1,18,167
400,1050,forgy,loop,6,1,1595984545.01253,1635988033.78564,2.40847520833333,0.05335175,0.876666666666667,0.845,0.841269841269841,10,11,0,1,14,279
400,1,forgy,loop,6,1,1607991072.4723,1625861613.83193,2.40907608333333,0.054215125,0.872666666666667,0.86,0.857142857142857,10,11,0,1,12,271
400,2,forgy,loop,5,1,1595240555.70321,1630513303.90052,2.02032241666667,0.0536985,0.885333333333333,0.83,0.82010582010582,11,11,0,1,18,278
