k,seed,init_method,dist_mode,n_iter,converged,final_cost,init_cost,fit_time,predict_time,train_acc,test_acc,test_acc_clean,outlier_correct,n_outlier,n_empty,min_cluster,max_cluster,n_pure_clusters
2,1050,forgy,loop,25,1,4784063485.68028,4875053519.58357,0.0927323333333333,0.000313458333333333,0.213333333333333,0.2,0.201058201058201,2,11,0,539,961,0
2,1,forgy,loop,17,1,4785145900.56754,4956709919.58465,0.0519804166666667,0.00028425,0.213333333333333,0.2,0.201058201058201,2,11,0,520,980,0
2,2,forgy,loop,18,1,4784192870.77537,4839335107.49491,0.056739875,0.000249666666666667,0.213333333333333,0.2,0.201058201058201,2,11,0,562,938,0
2,3,forgy,loop,28,1,4784907485.92534,4959977942.14158,0.0853373333333333,0.000243416666666667,0.212666666666667,0.2,0.201058201058201,2,11,0,561,939,0
2,4,forgy,loop,41,1,4784674583.70005,4869450285.36768,0.124760666666667,0.000246208333333333,0.212666666666667,0.2,0.201058201058201,2,11,0,579,921,0
2,5,forgy,loop,23,1,4784580335.60625,4949252791.272,0.068729375,0.000241666666666667,0.212666666666667,0.2,0.201058201058201,2,11,0,584,916,0
2,6,forgy,loop,16,1,4784280397.88799,4927690139.81909,0.04903,0.000242625,0.213333333333333,0.2,0.201058201058201,2,11,0,577,923,0
2,7,forgy,loop,25,1,4784072254.38461,4832298500.25568,0.0722552083333333,0.000243791666666667,0.213333333333333,0.2,0.201058201058201,2,11,0,540,960,0
2,8,forgy,loop,31,1,4784072254.38461,4853228777.55193,0.092358,0.000237416666666667,0.213333333333333,0.2,0.201058201058201,2,11,0,540,960,0
2,9,forgy,loop,7,1,4839157501.0929,4944818004.14478,0.0208673333333333,0.000247375,0.202666666666667,0.195,0.19047619047619,3,11,0,514,986,0
5,1050,forgy,loop,28,1,4198664564.59272,4444159329.81608,0.148281666666667,0.000483166666666667,0.475333333333333,0.43,0.433862433862434,4,11,0,144,441,0
5,1,forgy,loop,50,0,4198817809.52874,4598883477.32014,0.265034416666667,0.000509666666666667,0.480666666666667,0.435,0.439153439153439,4,11,0,151,441,0
5,2,forgy,loop,19,1,4198934051.8488,4553961537.33275,0.101507791666667,0.00049425,0.477333333333333,0.435,0.439153439153439,4,11,0,149,450,0
5,3,forgy,loop,22,1,4199068414.44592,4593584971.76704,0.117509166666667,0.000562583333333333,0.476666666666667,0.435,0.439153439153439,4,11,0,149,447,0
5,4,forgy,loop,15,1,4265547251.74335,4569276686.12773,0.0808364583333333,0.000488291666666667,0.426666666666667,0.395,0.396825396825397,4,11,0,239,450,0
5,5,forgy,loop,12,1,4272384773.49698,4665616841.85226,0.0631547916666667,0.000564458333333333,0.406666666666667,0.385,0.391534391534392,3,11,0,185,456,0
5,6,forgy,loop,17,1,4199017071.09531,4564252399.62307,0.0902341666666667,0.000565666666666667,0.477333333333333,0.435,0.439153439153439,4,11,0,150,454,0
5,7,forgy,loop,15,1,4198927421.2754,4490715697.30092,0.079795875,0.000501375,0.477333333333333,0.435,0.439153439153439,4,11,0,151,449,0
5,8,forgy,loop,22,1,4198680424.22052,4558216562.64422,0.116828166666667,0.000505625,0.475333333333333,0.43,0.433862433862434,4,11,0,144,441,0
5,9,forgy,loop,37,1,4198608809.37458,4641910552.72735,0.195804208333333,0.000492333333333333,0.475333333333333,0.43,0.433862433862434,4,11,0,144,446,0
10,1050,forgy,loop,28,1,3777368821.57292,4192494983.34702,0.279161166666667,0.000934375,0.594,0.615,0.608465608465608,8,11,0,94,241,0
10,1,forgy,loop,35,1,3796897776.09794,4189861691.39244,0.355247041666667,0.0010095,0.556,0.53,0.534391534391534,5,11,0,105,179,0
10,2,forgy,loop,15,1,3809747807.0559,4137968825.25641,0.149586333333333,0.000932958333333333,0.596,0.575,0.576719576719577,6,11,0,83,237,0
10,3,forgy,loop,15,1,3816177088.64444,4321097953.83932,0.144600833333333,0.000925208333333333,0.59,0.57,0.560846560846561,8,11,0,99,211,0
10,4,forgy,loop,38,1,3783850957.49998,4194788810.02429,0.361708625,0.000946708333333333,0.533333333333333,0.54,0.53968253968254,6,11,0,90,218,0
10,5,forgy,loop,18,1,3769904167.73133,4292762377.05546,0.173919333333333,0.0010635,0.577333333333333,0.63,0.624338624338624,8,11,0,112,209,0
10,6,forgy,loop,43,1,3790637197.15619,4181688890.75618,0.423417625,0.000931458333333333,0.611333333333333,0.64,0.634920634920635,8,11,0,93,285,0
10,7,forgy,loop,18,1,3788899705.35056,4167598667.6736,0.173103958333333,0.000924166666666667,0.51,0.54,0.534391534391534,7,11,0,81,224,0
10,8,forgy,loop,22,1,3787083789.37904,4137719433.06368,0.209920833333333,0.00093825,0.564,0.6,0.592592592592593,8,11,0,122,226,0
10,9,forgy,loop,28,1,3795379705.42872,4180380198.71184,0.267908125,0.000922708333333333,0.572666666666667,0.56,0.555555555555556,7,11,0,96,235,0
15,1050,forgy,loop,20,1,3532234532.13611,3961213665.27915,0.282427833333333,0.00141266666666667,0.673333333333333,0.655,0.645502645502645,9,11,0,59,125,0
15,1,forgy,loop,25,1,3515583185.82548,3970775696.4822,0.355229791666667,0.00138075,0.667333333333333,0.695,0.687830687830688,9,11,0,50,139,0
15,2,forgy,loop,17,1,3527980243.81598,3902401641.80175,0.241120791666667,0.00139254166666667,0.654666666666667,0.64,0.634920634920635,8,11,0,46,155,0
15,3,forgy,loop,25,1,3545686507.64041,4061195430.42241,0.352592291666667,0.00139579166666667,0.687333333333333,0.73,0.73015873015873,8,11,0,59,167,0
15,4,forgy,loop,38,1,3554920182.0314,4015673986.8029,0.535190333333333,0.00137575,0.624,0.605,0.603174603174603,7,11,0,21,145,0
15,5,forgy,loop,40,1,3545042280.40856,4025028583.67795,0.569657791666667,0.00143033333333333,0.678666666666667,0.72,0.71957671957672,8,11,0,67,166,0
15,6,forgy,loop,28,1,3552687404.42983,3982645077.82016,0.388687041666667,0.00137916666666667,0.692,0.675,0.666666666666667,9,11,0,47,188,0
15,7,forgy,loop,17,1,3537287492.3989,3940988745.43353,0.238953666666667,0.00136433333333333,0.674,0.645,0.64021164021164,8,11,0,46,157,0
15,8,forgy,loop,34,1,3526633047.17692,3938402876.18425,0.488543041666667,0.001401625,0.675333333333333,0.645,0.634920634920635,9,11,0,56,138,0
15,9,forgy,loop,25,1,3533354557.94784,3954061404.30911,0.353080291666667,0.00139554166666667,0.636,0.625,0.619047619047619,8,11,0,46,143,0
20,1050,forgy,loop,29,1,3375695537.06956,3756913144.81364,0.550230333333333,0.00193408333333333,0.712,0.67,0.666666666666667,8,11,0,39,128,0
20,1,forgy,loop,26,1,3365979834.75018,3766283285.26673,0.490207916666667,0.001902,0.701333333333333,0.72,0.71957671957672,8,11,0,46,109,0
20,2,forgy,loop,21,1,3364192646.54965,3706686783.84293,0.391484166666667,0.00186933333333333,0.692666666666667,0.665,0.656084656084656,9,11,0,41,122,0
20,3,forgy,loop,24,1,3410639634.10941,3832109319.51974,0.447115125,0.0018855,0.706,0.7,0.708994708994709,6,11,0,17,194,0
20,4,forgy,loop,28,1,3369508466.25648,3903908672.48381,0.532967166666667,0.00185779166666667,0.693333333333333,0.685,0.677248677248677,9,11,0,22,113,0
20,5,forgy,loop,19,1,3375749863.81495,3837007965.40971,0.360802083333333,0.001895625,0.672,0.685,0.682539682539683,8,11,0,39,130,0
20,6,forgy,loop,17,1,3404495439.33427,3751861943.16038,0.315443375,0.001878125,0.716666666666667,0.695,0.693121693121693,8,11,0,26,153,0
20,7,forgy,loop,21,1,3380743784.36183,3771546795.43992,0.395308708333333,0.00193945833333333,0.702,0.68,0.677248677248677,8,11,0,41,130,0
20,8,forgy,loop,35,1,3362980051.07994,3773211445.02677,0.652331708333333,0.00198383333333333,0.724666666666667,0.7,0.698412698412698,8,11,0,51,126,1
20,9,forgy,loop,24,1,3370677251.84946,3765742216.31416,0.451969916666667,0.0018665,0.686666666666667,0.65,0.645502645502645,8,11,0,43,134,0
25,1050,forgy,loop,27,1,3249299461.74299,3632099020.54143,0.738658458333333,0.0027245,0.72,0.715,0.708994708994709,9,11,0,27,112,0
25,1,forgy,loop,22,1,3268992250.74354,3671729850.1427,0.605036333333333,0.00285041666666667,0.702,0.715,0.708994708994709,9,11,0,25,103,0
25,2,forgy,loop,16,1,3227919411.27804,3578523334.92655,0.460306666666667,0.00284225,0.725333333333333,0.73,0.724867724867725,9,11,0,36,86,1
25,3,forgy,loop,20,1,3264137249.7495,3627910696.11947,0.560878,0.002801,0.736666666666667,0.73,0.735449735449735,7,11,0,17,105,1
25,4,forgy,loop,26,1,3258770396.14799,3716665517.25305,0.719431666666667,0.00301195833333333,0.708,0.71,0.703703703703704,9,11,0,19,105,0
25,5,forgy,loop,12,1,3257036651.26403,3622045946.27413,0.330999791666667,0.00277766666666667,0.738,0.71,0.708994708994709,8,11,0,18,114,1
25,6,forgy,loop,21,1,3286065062.61298,3643364098.88617,0.586460708333333,0.00264341666666667,0.735333333333333,0.73,0.73015873015873,8,11,0,20,115,0
25,7,forgy,loop,21,1,3230002249.69503,3633798911.59087,0.584270333333333,0.00274816666666667,0.752,0.745,0.751322751322751,7,11,0,35,89,0
25,8,forgy,loop,36,1,3249607133.55487,3623622027.59986,1.00766329166667,0.00296533333333333,0.718,0.725,0.73015873015873,7,11,0,16,117,0
25,9,forgy,loop,20,1,3231617222.34827,3642538753.31038,0.555774833333333,0.002952375,0.741333333333333,0.745,0.751322751322751,7,11,0,22,89,1
30,1050,forgy,loop,20,1,3123665545.06027,3519279260.35499,0.497752458333333,0.00267775,0.746,0.705,0.71957671957672,5,11,0,21,91,0
30,1,forgy,loop,25,1,3152841635.16312,3554111666.21167,0.625032083333333,0.00303758333333333,0.721333333333333,0.7,0.698412698412698,8,11,0,17,86,0
